ID,appID,appName,gerName,technicalAppName,appType_ID,shortDescr,domain_ID,pillar_ID,implementationPartner,deploymentType_ID,tShirtSize_ID,otherRequiredSystems,stage_ID,releaseType_ID,itService,productOwner,proxyProductOwner,itServiceAssignmentGroup,gitRepo,deploymentTrack,sapLaunchpadIntegrationReq,sapWorkZoneIntegrationReq,fioriAppType_ID,requiredDevFrameworks,templateRoles,btpNavigationRoles,statusCodeQualityCheck,statusAuditConceptRequirements,statusDpa,statusMonitoringConcept,statusSecurityPenTest,statusSecurityConceptAssessment,inventoryCompletion,isProductSuite,uxScore,productOwnerEmail,productSuiteParentApp_ID,productSuiteName,appOwner,platformAdmin
afe4a31f-4083-496e-b925-9de5e53f6c51,9999,default,-,-,6,default PS,1,1,-,1,1,-,1,1,-,-,-,-,,,false,false,1,-,,,,,,,,,,true,,,,,,
2244d9e8-68cb-4260-9a9d-85132683638d,2003,Daltfresh,Holdlamis,Smithopsis crassicaudata,5,Carphophis sp.,9,1,Hahn-Gerhold,1,2,Stronghold,2,1,"Zieme, Beahan and Lockman",Kiel Mackett,Clementine Milne,Aonyx capensis,https://nps.gov/auctor.jsp?bibendum=enim&imperdiet=sit&nullam=amet&orci=nunc&pede=viverra&venenatis=dapibus&non=nulla&sodales=suscipit&sed=ligula&tincidunt=in&eu=lacus&felis=curabitur&fusce=at&posuere=ipsum&felis=ac&sed=tellus&lacus=semper&morbi=interdum&sem=mauris&mauris=ullamcorper&laoreet=purus&ut=sit&rhoncus=amet&aliquet=nulla&pulvinar=quisque&sed=arcu&nisl=libero&nunc=rutrum&rhoncus=ac&dui=lobortis,Eudyptula minor,false,false,5,Lotlux,Engineer IV,Account Representative III,In-Progress,Planned,Planned,Planned,In-Progress,Completed,96,false,1.2,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
4c6ca970-dc09-43d2-9ae8-5b165fab8f32,1994,Redhold,Sub-Ex,Bettongia penicillata,3,Bison bison,7,4,Pfannerstill LLC,3,3,Daltfresh,5,1,Klocko-Weimann,Emily Fullick,Lou Brickett,Choriotis kori,https://home.pl/amet/sapien/dignissim/vestibulum/vestibulum/ante/ipsum.js?pretium=ipsum&quis=aliquam&lectus=non&suspendisse=mauris&potenti=morbi&in=non&eleifend=lectus&quam=aliquam&a=sit&odio=amet&in=diam&hac=in&habitasse=magna&platea=bibendum&dictumst=imperdiet&maecenas=nullam&ut=orci&massa=pede&quis=venenatis&augue=non&luctus=sodales&tincidunt=sed&nulla=tincidunt&mollis=eu&molestie=felis&lorem=fusce&quisque=posuere&ut=felis&erat=sed&curabitur=lacus&gravida=morbi&nisi=sem&at=mauris&nibh=laoreet&in=ut&hac=rhoncus&habitasse=aliquet&platea=pulvinar&dictumst=sed&aliquam=nisl&augue=nunc&quam=rhoncus&sollicitudin=dui&vitae=vel&consectetuer=sem&eget=sed&rutrum=sagittis&at=nam&lorem=congue&integer=risus&tincidunt=semper&ante=porta&vel=volutpat&ipsum=quam&praesent=pede&blandit=lobortis&lacinia=ligula&erat=sit&vestibulum=amet&sed=eleifend&magna=pede&at=libero&nunc=quis&commodo=orci&placerat=nullam&praesent=molestie&blandit=nibh&nam=in&nulla=lectus&integer=pellentesque&pede=at&justo=nulla&lacinia=suspendisse&eget=potenti&tincidunt=cras&eget=in&tempus=purus&vel=eu&pede=magna&morbi=vulputate&porttitor=luctus&lorem=cum&id=sociis&ligula=natoque&suspendisse=penatibus&ornare=et&consequat=magnis&lectus=dis&in=parturient&est=montes&risus=nascetur&auctor=ridiculus&sed=mus&tristique=vivamus&in=vestibulum&tempus=sagittis,Lasiodora parahybana,false,false,3,Overhold,Administrative Officer,Payment Adjustment Coordinator,Completed,Completed,In-Progress,Completed,In-Progress,Planned,68,false,1.5,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
d5a589ad-dc32-4f03-949e-355f7e913992,1993,Home Ing,Wrapsafe,Ninox superciliaris,2,Gopherus agassizii,9,6,Greenfelder LLC,3,1,Keylex,6,1,Zemlak Group,Quintina Teek,Cooper Hagley,Cacatua tenuirostris,http://omniture.com/luctus.json?orci=donec&eget=posuere&orci=metus&vehicula=vitae&condimentum=ipsum&curabitur=aliquam&in=non&libero=mauris&ut=morbi&massa=non&volutpat=lectus&convallis=aliquam&morbi=sit&odio=amet&odio=diam&elementum=in&eu=magna&interdum=bibendum&eu=imperdiet&tincidunt=nullam&in=orci&leo=pede&maecenas=venenatis&pulvinar=non&lobortis=sodales&est=sed&phasellus=tincidunt&sit=eu&amet=felis&erat=fusce&nulla=posuere&tempus=felis&vivamus=sed&in=lacus&felis=morbi&eu=sem&sapien=mauris&cursus=laoreet&vestibulum=ut&proin=rhoncus&eu=aliquet&mi=pulvinar&nulla=sed&ac=nisl&enim=nunc&in=rhoncus&tempor=dui&turpis=vel&nec=sem&euismod=sed&scelerisque=sagittis&quam=nam&turpis=congue&adipiscing=risus&lorem=semper&vitae=porta&mattis=volutpat&nibh=quam&ligula=pede&nec=lobortis&sem=ligula&duis=sit&aliquam=amet&convallis=eleifend&nunc=pede&proin=libero&at=quis&turpis=orci&a=nullam&pede=molestie&posuere=nibh&nonummy=in&integer=lectus&non=pellentesque&velit=at&donec=nulla&diam=suspendisse&neque=potenti&vestibulum=cras,Certotrichas paena,false,false,3,Overhold,Editor,Database Administrator II,Planned,Planned,Planned,In-Progress,Completed,In-Progress,85,false,2.8,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
bcd96068-4171-40da-8faa-83a1253684ad,1988,Flowdesk,Fixflex,Trichechus inunguis,3,Dasyurus maculatus,6,6,Reynolds-Okuneva,3,1,Tresom,7,1,"Pollich, Fahey and Deckow",Lou Shorthill,Yolanda Iozefovich,Canis aureus,https://sphinn.com/odio.js?hac=sapien&habitasse=placerat&platea=ante&dictumst=nulla&etiam=justo&faucibus=aliquam&cursus=quis&urna=turpis&ut=eget&tellus=elit&nulla=sodales&ut=scelerisque&erat=mauris&id=sit&mauris=amet&vulputate=eros&elementum=suspendisse&nullam=accumsan&varius=tortor&nulla=quis&facilisi=turpis&cras=sed&non=ante&velit=vivamus&nec=tortor&nisi=duis&vulputate=mattis&nonummy=egestas&maecenas=metus&tincidunt=aenean&lacus=fermentum&at=donec&velit=ut&vivamus=mauris&vel=eget&nulla=massa&eget=tempor&eros=convallis&elementum=nulla&pellentesque=neque&quisque=libero&porta=convallis&volutpat=eget&erat=eleifend&quisque=luctus&erat=ultricies&eros=eu&viverra=nibh&eget=quisque&congue=id&eget=justo&semper=sit&rutrum=amet&nulla=sapien&nunc=dignissim&purus=vestibulum&phasellus=vestibulum&in=ante&felis=ipsum&donec=primis&semper=in&sapien=faucibus&a=orci&libero=luctus&nam=et&dui=ultrices&proin=posuere&leo=cubilia&odio=curae&porttitor=nulla&id=dapibus&consequat=dolor&in=vel&consequat=est&ut=donec&nulla=odio&sed=justo,Sceloporus magister,false,false,6,Alphazap,Editor,Environmental Tech,Completed,In-Progress,Completed,Completed,Planned,Completed,78,false,3.9,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
c0d66fa5-e09e-4629-b991-2ddeac36e935,1995,Subin,Cardify,Vanellus sp.,2,Pitangus sulphuratus,2,5,Shanahan Group,2,4,Konklab,1,3,Macejkovic and Sons,Genovera Woodfield,Carri McIndrew,Pteropus rufus,https://boston.com/ultrices/erat/tortor/sollicitudin/mi/sit/amet.js?ultricies=eget&eu=tempus&nibh=vel&quisque=pede&id=morbi&justo=porttitor&sit=lorem&amet=id&sapien=ligula&dignissim=suspendisse&vestibulum=ornare&vestibulum=consequat&ante=lectus&ipsum=in&primis=est&in=risus&faucibus=auctor&orci=sed&luctus=tristique&et=in&ultrices=tempus&posuere=sit&cubilia=amet&curae=sem&nulla=fusce&dapibus=consequat&dolor=nulla&vel=nisl&est=nunc&donec=nisl&odio=duis&justo=bibendum&sollicitudin=felis&ut=sed&suscipit=interdum&a=venenatis&feugiat=turpis&et=enim&eros=blandit&vestibulum=mi&ac=in&est=porttitor&lacinia=pede&nisi=justo&venenatis=eu&tristique=massa&fusce=donec&congue=dapibus&diam=duis&id=at&ornare=velit&imperdiet=eu&sapien=est&urna=congue&pretium=elementum&nisl=in&ut=hac&volutpat=habitasse&sapien=platea&arcu=dictumst&sed=morbi&augue=vestibulum&aliquam=velit&erat=id&volutpat=pretium&in=iaculis&congue=diam&etiam=erat&justo=fermentum&etiam=justo&pretium=nec,Haliaetus leucogaster,false,false,2,Cardify,Software Test Engineer I,Safety Technician II,Planned,Planned,Completed,In-Progress,Planned,Completed,67,false,4.4,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
0c120508-333a-45f5-a9fc-14b108f102ea,2006,Cardify,Greenlam,Epicrates cenchria maurus,4,Bucorvus leadbeateri,9,3,Mitchell-Rath,3,1,Treeflex,10,2,Upton-Heathcote,Leopold Laffoley-Lane,Carmelle Treasaden,Odocoileus hemionus,https://reuters.com/at/turpis.aspx?ac=elementum&neque=ligula&duis=vehicula&bibendum=consequat&morbi=morbi&non=a&quam=ipsum&nec=integer&dui=a&luctus=nibh&rutrum=in&nulla=quis&tellus=justo&in=maecenas&sagittis=rhoncus&dui=aliquam&vel=lacus&nisl=morbi&duis=quis&ac=tortor&nibh=id&fusce=nulla&lacus=ultrices&purus=aliquet&aliquet=maecenas&at=leo&feugiat=odio&non=condimentum&pretium=id&quis=luctus&lectus=nec&suspendisse=molestie&potenti=sed&in=justo&eleifend=pellentesque&quam=viverra&a=pede&odio=ac&in=diam&hac=cras&habitasse=pellentesque&platea=volutpat&dictumst=dui&maecenas=maecenas&ut=tristique&massa=est&quis=et&augue=tempus&luctus=semper&tincidunt=est&nulla=quam&mollis=pharetra&molestie=magna&lorem=ac&quisque=consequat&ut=metus&erat=sapien&curabitur=ut&gravida=nunc&nisi=vestibulum&at=ante,Melanerpes erythrocephalus,false,false,1,Zontrax,Professor,Account Representative III,In-Progress,Planned,In-Progress,In-Progress,Completed,Planned,85,false,1.9,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
5b118fcf-0260-427a-a21b-54886ac16b4a,2003,Wrapsafe,Flowdesk,Merops bullockoides,3,Lepus townsendii,10,3,Blanda-Luettgen,2,3,Kanlam,2,3,Kuhic-Cronin,Frasier Dunnet,Sandi Hedon,Cathartes aura,https://dedecms.com/elit/ac/nulla.png?ut=ut&erat=volutpat&curabitur=sapien&gravida=arcu&nisi=sed&at=augue&nibh=aliquam&in=erat&hac=volutpat&habitasse=in&platea=congue&dictumst=etiam&aliquam=justo&augue=etiam&quam=pretium&sollicitudin=iaculis&vitae=justo&consectetuer=in&eget=hac&rutrum=habitasse&at=platea&lorem=dictumst&integer=etiam&tincidunt=faucibus&ante=cursus&vel=urna&ipsum=ut&praesent=tellus&blandit=nulla&lacinia=ut&erat=erat&vestibulum=id&sed=mauris&magna=vulputate&at=elementum&nunc=nullam&commodo=varius&placerat=nulla&praesent=facilisi&blandit=cras&nam=non&nulla=velit&integer=nec&pede=nisi&justo=vulputate&lacinia=nonummy&eget=maecenas&tincidunt=tincidunt&eget=lacus&tempus=at&vel=velit&pede=vivamus&morbi=vel&porttitor=nulla&lorem=eget&id=eros&ligula=elementum&suspendisse=pellentesque&ornare=quisque&consequat=porta&lectus=volutpat&in=erat&est=quisque&risus=erat,Cercopithecus aethiops,false,false,1,Latlux,Technical Writer,Staff Accountant III,Planned,In-Progress,Completed,Completed,Planned,Completed,26,false,4.7,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
04baa714-0f68-4c80-9bbe-bf771e2f79de,1992,Latlux,Tres-Zap,Phascogale calura,4,Bubalornis niger,5,5,"Jaskolski, Waters and Strosin",1,2,Fintone,2,1,Satterfield and Sons,Therine Rucklidge,Lurlene Matuschek,Ramphastos tucanus,https://ftc.gov/tristique/est/et/tempus/semper/est/quam.jsp?justo=fusce&sollicitudin=congue&ut=diam&suscipit=id&a=ornare&feugiat=imperdiet&et=sapien&eros=urna&vestibulum=pretium&ac=nisl&est=ut&lacinia=volutpat&nisi=sapien&venenatis=arcu&tristique=sed&fusce=augue&congue=aliquam&diam=erat&id=volutpat&ornare=in&imperdiet=congue&sapien=etiam&urna=justo&pretium=etiam&nisl=pretium&ut=iaculis&volutpat=justo&sapien=in&arcu=hac&sed=habitasse&augue=platea&aliquam=dictumst&erat=etiam&volutpat=faucibus&in=cursus&congue=urna&etiam=ut&justo=tellus&etiam=nulla&pretium=ut&iaculis=erat&justo=id&in=mauris&hac=vulputate&habitasse=elementum&platea=nullam&dictumst=varius&etiam=nulla&faucibus=facilisi&cursus=cras&urna=non&ut=velit&tellus=nec,Naja haje,false,false,1,Sonair,Sales Associate,Assistant Professor,In-Progress,Completed,Planned,Planned,Completed,Planned,49,false,2.9,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
5aaa5c89-a967-4eca-b8ee-b04e68acbe64,2001,Alphazap,Vagram,Sylvicapra grimma,1,Bettongia penicillata,4,5,Reichel LLC,1,5,Wrapsafe,5,2,"Tremblay, Wolff and Mraz",Al Samsin,Petronilla Strachan,Bettongia penicillata,http://psu.edu/mauris/lacinia.json?cras=pellentesque&in=viverra&purus=pede&eu=ac&magna=diam&vulputate=cras&luctus=pellentesque&cum=volutpat&sociis=dui&natoque=maecenas&penatibus=tristique&et=est&magnis=et&dis=tempus&parturient=semper&montes=est&nascetur=quam&ridiculus=pharetra&mus=magna&vivamus=ac&vestibulum=consequat&sagittis=metus&sapien=sapien&cum=ut&sociis=nunc&natoque=vestibulum&penatibus=ante&et=ipsum&magnis=primis&dis=in&parturient=faucibus&montes=orci&nascetur=luctus&ridiculus=et&mus=ultrices&etiam=posuere&vel=cubilia&augue=curae&vestibulum=mauris&rutrum=viverra&rutrum=diam&neque=vitae&aenean=quam&auctor=suspendisse&gravida=potenti&sem=nullam&praesent=porttitor&id=lacus&massa=at&id=turpis&nisl=donec&venenatis=posuere&lacinia=metus&aenean=vitae&sit=ipsum&amet=aliquam&justo=non&morbi=mauris&ut=morbi&odio=non&cras=lectus&mi=aliquam&pede=sit&malesuada=amet&in=diam&imperdiet=in&et=magna&commodo=bibendum&vulputate=imperdiet&justo=nullam&in=orci&blandit=pede&ultrices=venenatis&enim=non&lorem=sodales&ipsum=sed&dolor=tincidunt&sit=eu&amet=felis&consectetuer=fusce&adipiscing=posuere&elit=felis&proin=sed&interdum=lacus&mauris=morbi,Larus novaehollandiae,false,false,4,Stim,Senior Financial Analyst,Quality Engineer,In-Progress,Completed,Completed,In-Progress,Planned,Completed,60,false,2.4,product.owner@aldi-sued.com,afe4a31f-4083-496e-b925-9de5e53f6c51,,lorem ipsum,Steffen Neumann
